Company, Viken Detection
Model, Pb200i
Type, XRF Lead Paint Analyzer
Serial Num., 2753
App Version, Pb200i-5.2.0

Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color,
,78,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:01:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,1/2 Bathroom,D,Room,Crown Molding,Wood,Intact,,White,
,79,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:01:32,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,1/2 Bathroom,C,Window,Sill,Wood,Intact,,White,
,80,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:02:08,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,1/2 Bathroom,C,Room,Baseboard,Wood,Intact,,White,
,81,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:02:51,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,A,Room,Wall,Wood,Intact,,White,
,82,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:03:14,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,B,Room,Wall,Wood,Intact,,White,
,83,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:03:36,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,C,Room,Wall,Wood,Intact,,White,
,84,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:03:56,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,D,Room,Wall,Wood,Intact,,White,
,85,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:04:22,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,D,Room,Wall,Ceramic,Intact,,Blue,
,86,0.1,mg/cm2,0.4,Negative,false,1.00,false,false,2.00,2022-02-26,13:05:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,C,Room,Wall,Ceramic,Intact,,Blue,
,87,0.0,mg/cm2,0.4,Negative,false,1.00,false,false,2.00,2022-02-26,13:05:26,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,D,Room,Wall,Ceramic,Intact,,Blue,
,88,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:05:49,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,A,Room,Wall,Ceramic,Intact,,Blue,
,89,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:06:27,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,A,Door,---,Wood,Intact,,Brown,
,90,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:06:48,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,A,Door,Casing,Wood,Intact,,Brown,
,91,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,13:07:29,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,C,Window,Sill,Wood,Intact,,Brown,
,92,29.0,mg/cm2,0.4,Positive,false,1.00,false,false,2.00,2022-02-26,13:08:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bathroom 2,B,Tub ,,Ceramic,Intact,,White,
,93,1.2,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-02-26,13:09:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Calibration,,,,,,,,
,94,1.2,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-02-26,13:09:44,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Calibration,,,,,,,,
,95,1.2,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-02-26,13:10:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Calibration,,,,,,,,
